data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2024,2024,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1363858.92722873,,2022
2024,2024,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33800.0,,2022
2024,2024,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.14,,2022
2024,2024,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1217767.0035751,,2022
2024,2024,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25800.0,,2022
2024,2024,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2025,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,311359.3197,,2022
2024,2025,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,309927.9946,,2022
2024,2025,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,7783.982992,,2022
2024,2025,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,7748.199866,,2022
2024,2025,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2025,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1463103.0636939,,2022
2024,2025,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,31250.8194722348,,2022
2024,2025,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1351823.89461654,,2022
2024,2025,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33500.0,,2022
2024,2025,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.12,,2022
2024,2025,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1207960.6807059,,2022
2024,2025,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25700.0,,2022
2024,2025,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2025,20,Moderate,Market,UtilityPV,Class1,capex_mw,1370455.3349595,,2022
2024,2025,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,21001.0765811561,,2022
2024,2025,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1463103.0636939,,2022
2024,2025,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,31250.8194722348,,2022
2024,2025,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1351823.89461654,,2022
2024,2025,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33500.0,,2022
2024,2025,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.12,,2022
2024,2025,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1207960.6807059,,2022
2024,2025,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25700.0,,2022
2024,2025,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2025,30,Moderate,Market,UtilityPV,Class1,capex_mw,1370455.3349595,,2022
2024,2025,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,21001.0765811561,,2022
2024,2025,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1351823.89461654,,2022
2024,2025,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33500.0,,2022
2024,2025,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.12,,2022
2024,2025,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1207960.6807059,,2022
