region,year,weather_year,time_index,load_mw
p10,2045,2012,145,32702.0
p10,2045,2012,146,31280.0
p10,2045,2012,147,29869.0
p10,2045,2012,148,26976.0
p10,2045,2012,149,26971.0
p10,2045,2012,150,26500.0
p10,2045,2012,151,25274.0
p10,2045,2012,152,25306.0
p10,2045,2012,153,25712.0
p10,2045,2012,154,26118.0
p10,2045,2012,155,26973.0
p10,2045,2012,156,28067.0
p10,2045,2012,157,29307.0
p10,2045,2012,158,29594.0
p10,2045,2012,159,29241.0
p10,2045,2012,160,28710.0
p10,2045,2012,161,28108.0
p10,2045,2012,162,27214.0
p10,2045,2012,163,26888.0
p10,2045,2012,164,27445.0
p10,2045,2012,165,29576.0
p10,2045,2012,166,30065.0
p10,2045,2012,167,29856.0
p10,2045,2012,168,29242.0
p10,2045,2012,169,28601.0
p10,2045,2012,170,27514.0
p10,2045,2012,171,26763.0
p10,2045,2012,172,26538.0
p10,2045,2012,173,26525.0
p10,2045,2012,174,25967.0
p10,2045,2012,175,24814.0
p10,2045,2012,176,24895.0
p10,2045,2012,177,25283.0
p10,2045,2012,178,25914.0
p10,2045,2012,179,26170.0
p10,2045,2012,180,27494.0
p10,2045,2012,181,28545.0
p10,2045,2012,182,28991.0
p10,2045,2012,183,28611.0
p10,2045,2012,184,27906.0
p10,2045,2012,185,27267.0
p10,2045,2012,186,26554.0
p10,2045,2012,187,26420.0
p10,2045,2012,188,27100.0
p10,2045,2012,189,29392.0
p10,2045,2012,190,30084.0
p10,2045,2012,191,29914.0
p10,2045,2012,192,29229.0
p10,2045,2012,193,28539.0
p10,2045,2012,194,27337.0
p10,2045,2012,195,26790.0
p10,2045,2012,196,29158.0
p10,2045,2012,197,29956.0
p10,2045,2012,198,29288.0
p10,2045,2012,199,27554.0
p10,2045,2012,200,28185.0
p10,2045,2012,201,29545.0
p10,2045,2012,202,31435.0
p10,2045,2012,203,31872.0
p10,2045,2012,204,32760.0
p10,2045,2012,205,33858.0
p10,2045,2012,206,34875.0
p10,2045,2012,207,34627.0
p10,2045,2012,208,33484.0
p10,2045,2012,209,32759.0
p10,2045,2012,210,32193.0
p10,2045,2012,211,31904.0
p10,2045,2012,212,32412.0
p10,2045,2012,213,34392.0
p10,2045,2012,214,35316.0
p10,2045,2012,215,35163.0
p10,2045,2012,216,34204.0
p10,2045,2012,217,32875.0
p10,2045,2012,218,31353.0
p10,2045,2012,219,29949.0
p10,2045,2012,220,28886.0
p10,2045,2012,221,29383.0
p10,2045,2012,222,28945.0
p10,2045,2012,223,27513.0
p10,2045,2012,224,28234.0
p10,2045,2012,225,29646.0
p10,2045,2012,226,31389.0
p10,2045,2012,227,32223.0
p10,2045,2012,228,32479.0
p10,2045,2012,229,33178.0
p10,2045,2012,230,33904.0
p10,2045,2012,231,33633.0
p10,2045,2012,232,32324.0
p10,2045,2012,233,31403.0
p10,2045,2012,234,30756.0
p10,2045,2012,235,30582.0
p10,2045,2012,236,30936.0
p10,2045,2012,237,32896.0
p10,2045,2012,238,33975.0
p10,2045,2012,239,33900.0
p10,2045,2012,240,33080.0
p11,2030,2012,1,2635.0
p11,2030,2012,2,2540.0
p11,2030,2012,3,2397.0
