technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Run of River Hydroelectric,34,1P,12.1,,12.1,12.1,1980,2080,0.533,0.0,0.0,11166.0
Run of River Hydroelectric,72,1,10.1,,10.1,10.1,1982,2082,0.0,0.0,0.0,8899.0
Run of River Hydroelectric,100,SC1,1.4,,1.4,1.4,1981,2081,0.04,0.0,0.0,12806.0
Hydroelectric Pumped Storage,104,1,199.8,3096.9,199.8,199.8,1987,2087,0.087,0.0,0.0,8756.0
Conventional Steam Coal,113,1,112.0,,113.6,112.0,2008,2037,0.515,10.597,0.522131473,10754.0436
Conventional Steam Coal,113,3,271.0,,312.3,271.0,2009,2055,0.522,10.864,0.522131473,10754.0436
Petroleum Liquids,114,1,15.0,,26.1,19.0,1972,2022,0.0,25.0,0.286648753,307.06971100000004
Natural Gas Fired Combustion Turbine,116,GT1,50.0,,53.1,62.0,1972,2027,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT2,50.0,,53.1,62.0,1973,2028,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT3,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT4,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT5,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT6,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT7,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combined Cycle,117,1B,85.0,,132.0,92.0,1976,2031,0.341,10.194,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,2B,85.0,,132.0,92.0,1976,2031,0.332,10.234,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,3B,85.0,,132.0,92.0,1976,2031,0.372,10.176,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-1,68.0,,91.0,78.0,2001,2056,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-2,34.0,,44.6,34.0,2001,2056,0.417,9.505,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-1,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-2,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-3,162.0,,201.0,162.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combustion Turbine,117,GT1,50.0,,53.1,62.0,1972,2027,0.016,20.653,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,117,GT2,50.0,,53.1,62.0,1973,2028,0.016,20.654,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,118,GE1,76.0,,78.3,79.0,2002,2057,0.11,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT1,53.1,,53.1,50.0,1972,2027,0.115,13.317,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT2,50.0,,53.1,62.0,1973,2028,0.1,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,120,GT1,18.0,,19.6,22.0,1971,2026,0.073,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT2,18.0,,19.6,22.0,1971,2026,0.073,12.035,1.74861846,10539.91632
Petroleum Liquids,120,GT21,20.0,,25.3,22.0,1978,2028,0.078,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT3,52.0,,72.4,62.0,1973,2028,0.096,12.035,1.74861846,10539.91632
Petroleum Liquids,120,GT4,51.0,,72.4,61.0,1974,2024,0.074,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT5,47.7,,60.5,49.3,2008,2063,0.104,12.033,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT6,47.7,,60.5,49.3,2008,2063,0.104,12.033,1.74861846,10539.91632
Natural Gas Steam Turbine,120,ST1,75.0,,86.7,75.0,1959,2030,0.002,11.068,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,124,GT2,75.0,,85.0,77.4,2001,2056,0.002,14.677,28.46452204,1230.331313
Natural Gas Steam Turbine,126,4,156.0,,173.3,156.0,1967,2042,0.354,11.313,0.871086594,28706.0365
Natural Gas Fired Combustion Turbine,126,GT1,24.0,,27.0,26.8,1972,2027,0.001,12.229,2.740763267,307.06971100000004
Natural Gas Fired Combustion Turbine,126,GT2,24.0,,27.0,26.8,1972,2027,0.001,12.229,2.740763267,307.06971100000004
Natural Gas Internal Combustion Engine,126,RIC1,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC10,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC2,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC3,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC4,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC5,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC6,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC7,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC8,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC9,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Steam Turbine,126,ST3,104.0,,113.6,104.0,1962,2037,0.342,11.323,0.871086594,28706.0365
Natural Gas Steam Turbine,141,AF1,113.0,,113.6,113.0,1958,2033,0.061,11.568,0.338551939,11156.73732
Natural Gas Steam Turbine,141,AF2,113.0,,113.6,113.0,1957,2032,0.049,11.4,0.338551939,11156.73732
Natural Gas Steam Turbine,141,AF3,181.0,,163.2,184.0,1961,2036,0.018,10.872,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,141,AF4,73.0,,80.5,87.0,1975,2030,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF5,73.0,,71.2,82.0,1974,2029,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF6,73.0,,71.2,82.0,1974,2029,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF7,45.0,,49.5,49.5,2022,2077,0.007,12.285,2.276,3541.0
Natural Gas Fired Combustion Turbine,141,AF8,45.0,,49.5,49.5,2022,2077,0.007,12.285,2.276,3541.0
Batteries,141,AFSB1,25.0,100.0,25.0,25.0,2021,2051,0.001,0.0,0.0,17250.0
Solar Photovoltaic,141,PV-3,0.2,,0.2,0.2,2001,2031,0.039,0.0,0.0,46920.0
Run of River Hydroelectric,143,CC5,3.0,,3.0,3.0,1939,2039,0.0,0.0,0.0,9916.0
Conventional Hydroelectric,145,HM1,10.0,,9.9,10.0,1927,2027,0.031,0.0,0.0,8006.0
Conventional Hydroelectric,145,HM2,10.0,,9.9,10.0,1927,2027,0.031,0.0,0.0,8144.0
Conventional Hydroelectric,145,HM3,11.7,,11.7,11.7,1927,2027,0.032,0.0,0.0,8144.0
Hydroelectric Pumped Storage,145,HM4,119.0,1844.5,99.8,119.0,1927,2027,0.111,0.0,0.0,16000.0
Natural Gas Steam Turbine,147,KY1,34.0,,34.5,34.0,1952,2030,0.0,17.1,0.338551939,11156.73732
Natural Gas Steam Turbine,147,KY2,72.0,,73.5,72.0,1954,2030,0.0,13.797,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,147,KY4,59.0,,53.1,62.5,1971,2026,0.001,22.394,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,147,KY5,53.0,,60.3,62.0,1973,2028,0.001,22.393,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,147,KY6,53.0,,60.3,62.0,1973,2028,0.001,22.393,14.03507055,10539.91632
Natural Gas Fired Combined Cycle,147,KY7,148.0,,170.0,167.0,2002,2057,0.604,7.333,3.308306845,4342.0804259999995
Natural Gas Fired Combined Cycle,147,KY7A,106.0,,122.0,110.0,2002,2057,0.604,7.333,3.308306845,4342.0804259999995
Conventional Hydroelectric,148,MF1,11.5,,9.2,11.5,1926,2026,0.051,0.0,0.0,7821.0
Hydroelectric Pumped Storage,148,MF2,57.3,888.15,54.3,57.3,1971,2071,0.112,0.0,0.0,19126.0
Conventional Hydroelectric,149,ROOS,34.0,,36.0,34.0,1973,2073,0.22,0.0,0.0,8672.0
Conventional Hydroelectric,150,SM,13.0,,13.0,13.0,1930,2030,0.248,0.0,0.0,9099.0
Petroleum Liquids,151,1,53.5,,71.2,53.5,1980,2030,0.002,19.817,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,151,2,53.5,,71.2,53.5,1981,2036,0.002,19.822,0.947143212,1121.119057
Conventional Hydroelectric,152,1,51.7,,51.7,51.7,1951,2051,0.465,0.0,0.0,7672.0
Conventional Hydroelectric,152,2,51.7,,51.7,51.7,1951,2051,0.465,0.0,0.0,7101.0
Conventional Hydroelectric,152,3,48.0,,48.0,48.0,1951,2051,0.465,0.0,0.0,7095.0
Conventional Hydroelectric,152,4,51.7,,51.7,51.7,1951,2051,0.465,0.0,0.0,7101.0
Conventional Hydroelectric,152,5,51.7,,51.7,51.7,1951,2051,0.465,0.0,0.0,7101.0
Conventional Hydroelectric,153,1,165.0,,165.0,165.0,1964,2064,0.287,0.0,0.0,6852.0
Conventional Hydroelectric,153,2,165.0,,165.0,165.0,1964,2064,0.287,0.0,0.0,6915.0
Conventional Hydroelectric,153,3,165.0,,165.0,165.0,1964,2064,0.287,0.0,0.0,6915.0
Conventional Hydroelectric,153,4,165.0,,165.0,165.0,1965,2065,0.287,0.0,0.0,6901.0
Conventional Hydroelectric,153,5,165.0,,165.0,165.0,1965,2065,0.287,0.0,0.0,6901.0
Conventional Hydroelectric,153,6,165.0,,165.0,165.0,1965,2065,0.287,0.0,0.0,6901.0
Conventional Hydroelectric,153,7,157.0,,157.0,157.0,1966,2066,0.287,0.0,0.0,6875.0
Conventional Hydroelectric,153,8,165.0,,165.0,165.0,1966,2066,0.287,0.0,0.0,6883.0
Conventional Hydroelectric,154,N0,2.4,,2.4,2.4,1936,2036,0.194,0.0,0.0,9335.0
Conventional Hydroelectric,154,N1,130.0,,130.0,130.0,1936,2036,0.194,0.0,0.0,6308.0
Conventional Hydroelectric,154,N2,130.0,,130.0,130.0,1936,2036,0.194,0.0,0.0,6308.0
Conventional Hydroelectric,154,N3,130.0,,130.0,130.0,1937,2037,0.194,0.0,0.0,6310.0
Conventional Hydroelectric,154,N4,130.0,,130.0,130.0,1936,2036,0.194,0.0,0.0,6308.0
Conventional Hydroelectric,154,N5,130.0,,130.0,130.0,1938,2038,0.194,0.0,0.0,6310.0
Conventional Hydroelectric,154,N6,130.0,,130.0,130.0,1938,2038,0.194,0.0,0.0,6310.0
Conventional Hydroelectric,154,N7,127.0,,127.0,127.0,1944,2044,0.194,0.0,0.0,6306.0
Conventional Hydroelectric,154,N8,130.0,,130.0,130.0,1961,2061,0.194,0.0,0.0,6339.0
Natural Gas Fired Combustion Turbine,160,GT1,10.0,,11.5,10.0,1963,2030,0.236,12.357,14.23226102,1230.331313
Natural Gas Fired Combustion Turbine,160,GT2,18.5,,20.4,20.0,1972,2027,0.227,12.357,9.738,10369.0
Natural Gas Fired Combustion Turbine,160,GT3,60.0,,78.7,63.0,1975,2030,0.23,12.357,14.23226102,1230.331313
Natural Gas Fired Combustion Turbine,160,GT4,38.0,,60.5,44.0,2002,2057,0.219,12.357,7.035,8379.0
Natural Gas Fired Combustion Turbine,160,GT5,37.9,,41.4,42.3,2025,2080,0.924,9.142,0.53,2960.0
Natural Gas Fired Combustion Turbine,160,GT6,37.9,,41.4,42.3,2025,2080,0.924,9.142,0.53,2960.0
Natural Gas Steam Turbine,160,ST1,72.0,,81.6,72.0,1964,2030,0.16,10.988,0.338551939,11156.73732
Natural Gas Steam Turbine,160,ST2,175.0,,204.0,175.0,1979,2054,0.517,10.965,0.338551939,11156.73732
Conventional Steam Coal,160,ST3,175.0,,204.0,175.0,1979,2054,0.658,11.134,0.635884742,14155.18861
Run of River Hydroelectric,161,1,1.1,,1.1,1.1,1980,2080,0.158,0.0,0.0,16128.0
Run of River Hydroelectric,161,2,1.1,,1.1,1.1,1980,2080,0.158,0.0,0.0,15909.0
Run of River Hydroelectric,161,3,1.1,,1.1,1.1,1980,2080,0.158,0.0,0.0,15909.0
Run of River Hydroelectric,162,1,0.5,,0.5,0.5,1979,2079,0.351,0.0,0.0,22409.0
Run of River Hydroelectric,162,2,0.5,,0.5,0.5,1979,2079,0.351,0.0,0.0,21950.0
Conventional Hydroelectric,180,1,0.9,,1.0,0.9,1981,2081,0.353,0.0,0.0,13788.0
Run of River Hydroelectric,214,1,1.0,,1.0,1.0,1902,2030,0.366,0.0,0.0,14385.0
Conventional Hydroelectric,215,1,0.7,,1.4,1.0,1940,2040,0.7,0.0,0.0,17276.0
Run of River Hydroelectric,217,1,31.0,,31.0,31.0,1927,2027,0.338,0.0,0.0,7384.0
Run of River Hydroelectric,218,2,52.5,,48.6,52.5,1958,2058,0.363,0.0,0.0,7125.0
Run of River Hydroelectric,218,3,52.5,,48.6,52.5,1958,2058,0.363,0.0,0.0,7071.0
Run of River Hydroelectric,219,1,125.0,,117.9,125.0,1969,2069,0.224,0.0,0.0,6356.0
Run of River Hydroelectric,220,H1,32.5,,33.0,32.5,1928,2028,0.125,0.0,0.0,6878.0
Run of River Hydroelectric,220,H2,32.5,,33.0,32.5,1928,2028,0.125,0.0,0.0,6685.0
Run of River Hydroelectric,221,1,41.0,,40.0,41.0,1958,2058,0.267,0.0,0.0,6605.0
Run of River Hydroelectric,222,1,25.0,,23.8,25.0,1921,2030,0.159,0.0,0.0,6378.0
Run of River Hydroelectric,222,2,25.0,,25.0,25.0,1921,2030,0.159,0.0,0.0,6341.0
Run of River Hydroelectric,222,3,25.0,,25.0,25.0,1924,2024,0.159,0.0,0.0,6342.0
Run of River Hydroelectric,223,4,60.0,,60.3,60.0,1958,2058,0.361,0.0,0.0,6500.0
Run of River Hydroelectric,223,5,60.0,,57.6,60.0,1958,2058,0.361,0.0,0.0,6454.0
Run of River Hydroelectric,224,1,5.5,,5.5,5.5,1900,2030,0.0,0.0,0.0,7530.0
Run of River Hydroelectric,224,2,0.9,,0.9,0.9,1900,2030,0.0,0.0,0.0,11038.0
Run of River Hydroelectric,225,1,7.0,,8.3,7.0,1965,2065,0.429,0.0,0.0,8473.0
Conventional Hydroelectric,227,1,13.0,,12.1,13.0,1979,2079,0.27,0.0,0.0,7865.0
Run of River Hydroelectric,229,1,0.9,,0.7,0.9,1907,2025,0.248,0.0,0.0,12045.0
Run of River Hydroelectric,229,2,0.9,,0.7,0.9,1907,2025,0.248,0.0,0.0,11776.0
Conventional Hydroelectric,231,1,35.0,,36.9,35.0,1949,2049,0.305,0.0,0.0,7069.0
Conventional Hydroelectric,231,2,35.0,,36.9,35.0,1950,2050,0.305,0.0,0.0,6619.0
Run of River Hydroelectric,232,1,18.5,,18.4,18.5,1963,2063,0.284,0.0,0.0,7620.0
Run of River Hydroelectric,233,1,5.7,,5.5,5.7,1908,2030,0.325,0.0,0.0,9163.0
Run of River Hydroelectric,235,1,13.2,,12.0,13.2,1913,2030,0.111,0.0,0.0,6987.0
Run of River Hydroelectric,235,2,13.2,,12.0,13.2,1913,2030,0.111,0.0,0.0,6950.0
Run of River Hydroelectric,235,3,13.2,,12.0,13.2,1922,2022,0.111,0.0,0.0,6863.0
Run of River Hydroelectric,235,4,14.4,,13.2,14.4,1928,2028,0.111,0.0,0.0,6566.0
Run of River Hydroelectric,236,5,49.5,,53.1,49.5,1965,2065,0.549,0.0,0.0,7523.0
Run of River Hydroelectric,237,1,22.0,,22.0,22.0,1943,2043,0.451,0.0,0.0,8009.0
Conventional Hydroelectric,238,1,10.4,,10.0,10.6,1924,2024,0.346,0.0,0.0,11403.0
Conventional Hydroelectric,238,2,10.4,,10.0,10.5,1924,2024,0.348,0.0,0.0,11348.0
Conventional Hydroelectric,239,1,30.7,,32.3,30.7,1948,2048,0.349,0.0,0.0,7290.0
Conventional Hydroelectric,239,2,30.7,,35.1,30.7,1948,2048,0.349,0.0,0.0,7305.0
Conventional Hydroelectric,239,3,36.6,,35.1,36.6,1948,2048,0.349,0.0,0.0,7065.0
Conventional Hydroelectric,240,H1,72.0,,67.5,72.0,1958,2058,0.258,0.0,0.0,6629.0
Conventional Hydroelectric,240,H2,72.0,,67.5,72.0,1958,2058,0.258,0.0,0.0,6612.0
Run of River Hydroelectric,241,1,11.0,,13.6,11.0,1916,2030,0.227,0.0,0.0,8795.0
Run of River Hydroelectric,242,1,2.4,,2.6,2.4,1921,2030,0.0,0.0,0.0,9660.0
Run of River Hydroelectric,242,2,2.4,,2.7,2.4,1921,2030,0.0,0.0,0.0,9250.0
Run of River Hydroelectric,243,1,8.5,,10.0,8.5,1921,2030,0.362,0.0,0.0,7459.0
Run of River Hydroelectric,244,1,8.5,,10.0,8.5,1921,2030,0.339,0.0,0.0,7928.0
Natural Gas Internal Combustion Engine,246,IC1,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC10,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC2,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC3,16.3,,16.7,16.3,2011,2066,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC4,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC5,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC6,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC7,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC8,16.3,,16.7,16.3,2010,2065,0.323,10.745,1.74861846,1121.119057
Natural Gas Internal Combustion Engine,246,IC9,16.7,,16.7,16.7,2010,2065,0.323,10.745,1.74861846,1121.119057
Conventional Hydroelectric,248,1,8.0,,7.6,8.0,1979,2079,0.0,0.0,0.0,8358.0
Run of River Hydroelectric,249,1,86.0,,85.1,86.0,1966,2066,0.292,0.0,0.0,6470.0
Run of River Hydroelectric,249,2,86.0,,83.5,86.0,1965,2065,0.292,0.0,0.0,6383.0
Run of River Hydroelectric,250,H1,12.6,,11.3,12.6,1920,2030,0.0,0.0,0.0,6883.0
Run of River Hydroelectric,250,H3,12.6,,11.3,12.6,1920,2030,0.0,0.0,0.0,6420.0
Run of River Hydroelectric,253,1,1.6,,1.5,1.6,1904,2025,0.08,0.0,0.0,11049.0
Conventional Hydroelectric,254,H1,52.0,,48.6,52.0,1962,2062,0.223,0.0,0.0,6754.0
Run of River Hydroelectric,255,1,1.0,,1.0,1.0,1906,2030,0.0,0.0,0.0,11907.0
Run of River Hydroelectric,255,2,1.0,,1.0,1.0,1906,2030,0.0,0.0,0.0,11599.0
Run of River Hydroelectric,258,1,3.5,,3.4,3.5,1930,2030,0.287,0.0,0.0,9577.0
Natural Gas Fired Combined Cycle,260,CT1A,165.0,,233.0,165.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Natural Gas Fired Combined Cycle,260,CT1B,165.0,,233.0,165.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Natural Gas Fired Combined Cycle,260,CT2A,165.0,,233.0,165.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Natural Gas Fired Combined Cycle,260,CT2B,165.0,,233.0,165.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Natural Gas Fired Combined Cycle,260,ST1,180.0,,233.0,180.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Natural Gas Fired Combined Cycle,260,ST2,180.0,,233.0,180.0,2002,2057,0.591,7.05,0.774950824,11973.82131
Conventional Hydroelectric,261,1,1.3,,3.6,2.0,1954,2054,0.833,0.0,0.0,12687.0
Run of River Hydroelectric,262,1,12.0,,10.2,12.0,1942,2042,0.54,0.0,0.0,8707.0
Conventional Hydroelectric,264,1,2.0,,1.6,2.0,1940,2040,0.354,0.0,0.0,11490.0
Conventional Hydroelectric,265,H1,30.5,,34.6,30.5,1922,2022,0.345,0.0,0.0,7014.0
Conventional Hydroelectric,265,H2,30.5,,34.6,30.5,1922,2022,0.345,0.0,0.0,6711.0
Conventional Hydroelectric,266,H1,23.3,,26.7,23.3,1925,2025,0.414,0.0,0.0,7586.0
Conventional Hydroelectric,266,H2,23.3,,26.7,23.3,1925,2025,0.414,0.0,0.0,7206.0
Conventional Hydroelectric,266,H3,23.3,,26.7,23.3,1925,2025,0.414,0.0,0.0,7151.0
Conventional Hydroelectric,267,1,47.5,,51.7,47.5,1955,2055,0.396,0.0,0.0,6856.0
Conventional Hydroelectric,267,2,47.5,,51.7,47.5,1955,2055,0.396,0.0,0.0,6624.0
Conventional Hydroelectric,268,H1,40.0,,38.2,40.0,1944,2044,0.433,0.0,0.0,6642.0
Conventional Hydroelectric,268,H2,40.0,,38.2,40.0,1944,2044,0.433,0.0,0.0,6514.0
Conventional Hydroelectric,268,H3,40.0,,33.2,40.0,1944,2044,0.433,0.0,0.0,6512.0
Conventional Hydroelectric,268,H4,40.0,,32.0,40.0,1944,2044,0.433,0.0,0.0,6509.0
Run of River Hydroelectric,269,H1,40.0,,39.6,40.0,1965,2065,0.338,0.0,0.0,7011.0
Run of River Hydroelectric,269,H2,40.0,,39.6,40.0,1965,2065,0.338,0.0,0.0,6755.0
Run of River Hydroelectric,270,H1,56.0,,57.6,56.0,1965,2065,0.311,0.0,0.0,6619.0
Run of River Hydroelectric,270,H2,57.0,,52.2,57.0,1965,2065,0.311,0.0,0.0,6503.0
Run of River Hydroelectric,272,1,60.0,,71.4,60.0,1958,2058,0.389,0.0,0.0,6638.0
Run of River Hydroelectric,272,2,60.0,,71.4,60.0,1958,2058,0.389,0.0,0.0,6499.0
Run of River Hydroelectric,274,1,4.5,,4.4,4.5,1939,2039,0.108,0.0,0.0,8432.0
Run of River Hydroelectric,274,2,2.0,,2.0,2.0,1910,2030,0.108,0.0,0.0,11041.0
Run of River Hydroelectric,274,3,2.7,,3.0,2.7,1917,2030,0.108,0.0,0.0,9950.0
Conventional Hydroelectric,275,H1,63.0,,63.0,63.0,1950,2050,0.348,0.0,0.0,6556.0
Conventional Hydroelectric,275,H2,63.0,,63.0,63.0,1950,2050,0.348,0.0,0.0,6443.0
Conventional Hydroelectric,276,1,3.2,,2.8,3.2,1917,2030,0.031,0.0,0.0,10007.0
Conventional Hydroelectric,277,3,4.2,,4.0,4.2,1923,2023,0.0,0.0,0.0,9152.0
Conventional Hydroelectric,279,1,11.0,,12.3,11.0,1931,2031,0.363,0.0,0.0,8182.0
Conventional Hydroelectric,279,2,33.0,,29.7,33.0,1953,2053,0.363,0.0,0.0,7443.0
Conventional Hydroelectric,280,1,7.0,,6.7,7.0,1979,2079,0.285,0.0,0.0,9071.0
Run of River Hydroelectric,281,1,7.0,,7.0,7.0,1928,2028,0.324,0.0,0.0,8584.0
Run of River Hydroelectric,282,1,4.4,,3.7,4.4,1928,2028,0.143,0.0,0.0,8473.0
Run of River Hydroelectric,283,1,5.8,,6.6,5.8,1929,2029,0.344,0.0,0.0,9105.0
Conventional Hydroelectric,284,1,7.0,,6.0,7.0,1921,2030,0.436,0.0,0.0,8959.0
Conventional Hydroelectric,285,HC1,91.0,,81.9,91.0,1963,2063,0.323,0.0,0.0,6635.0
Geothermal,286,U11,68.0,,110.0,68.0,1975,2030,0.805,9.771,0.587,39037.0
Geothermal,286,U12,51.0,,110.0,56.0,1979,2030,0.767,9.771,0.587,49009.0
Geothermal,286,U13,65.0,,138.0,68.0,1980,2030,0.787,9.771,0.587,36765.0
Geothermal,286,U14,60.0,,113.0,62.0,1980,2030,0.792,9.771,0.587,39783.0
Geothermal,286,U16,60.0,,118.0,60.0,1985,2030,0.805,9.771,0.587,37429.0
Geothermal,286,U17,60.0,,118.0,65.0,1982,2030,0.773,9.771,0.587,44098.0
Geothermal,286,U18,60.0,,118.0,60.0,1983,2030,0.805,9.771,0.587,38419.0
Geothermal,286,U20,50.0,,118.0,50.0,1985,2030,0.805,9.771,0.587,41991.0
Geothermal,286,U5,45.0,,55.0,50.0,1971,2030,0.762,9.771,0.587,50863.0
Geothermal,286,U6,45.0,,55.0,50.0,1971,2030,0.762,9.771,0.587,50863.0
Geothermal,286,U7,40.0,,55.0,42.0,1972,2030,0.785,9.771,0.587,52043.0
Geothermal,286,U8,40.0,,55.0,42.0,1972,2030,0.785,9.771,0.587,51816.0
Conventional Hydroelectric,287,H1,29.0,,25.5,29.0,1931,2031,0.434,0.0,0.0,7818.0
Conventional Hydroelectric,287,H2,29.0,,26.7,29.0,1931,2031,0.434,0.0,0.0,7614.0
Run of River Hydroelectric,289,1,3.2,,4.2,3.2,1914,2030,0.0,0.0,0.0,8829.0
Run of River Hydroelectric,289,2,3.2,,4.2,3.2,1914,2030,0.0,0.0,0.0,8476.0
Conventional Hydroelectric,290,1,9.0,,8.5,9.0,1980,2080,0.245,0.0,0.0,8077.999999999999
Conventional Hydroelectric,291,1,14.5,,13.6,14.5,1948,2048,0.538,0.0,0.0,8587.0
Run of River Hydroelectric,292,1,14.0,,13.6,14.0,1917,2030,0.393,0.0,0.0,8501.0
Run of River Hydroelectric,292,2,3.2,,2.8,3.2,1986,2086,0.393,0.0,0.0,10666.0
Conventional Hydroelectric,293,1,5.0,,3.2,5.0,1910,2030,0.166,0.0,0.0,8935.0
Conventional Hydroelectric,293,2,5.0,,3.2,5.0,1910,2030,0.166,0.0,0.0,8910.0
Conventional Hydroelectric,293,3,5.0,,3.2,5.0,1910,2030,0.166,0.0,0.0,8910.0
Conventional Hydroelectric,293,4,5.0,,3.2,5.0,1910,2030,0.166,0.0,0.0,8910.0
Run of River Hydroelectric,296,1,0.4,,0.5,0.4,1903,2030,0.424,0.0,0.0,17671.0
Run of River Hydroelectric,296,2,0.4,,0.4,0.4,1907,2030,0.424,0.0,0.0,17108.0
Run of River Hydroelectric,296,3,1.1,,1.2,1.1,1910,2030,0.424,0.0,0.0,12401.0
Run of River Hydroelectric,314,1,1.9,,2.0,0.9,1982,2082,0.458,0.0,0.0,14375.0
Run of River Hydroelectric,314,2,1.9,,2.0,0.9,1982,2082,0.458,0.0,0.0,13257.0
Natural Gas Steam Turbine,315,3,327.0,,310.0,327.0,1961,2026,0.084,13.588,0.131878475,4345.960941
Natural Gas Steam Turbine,315,4,335.0,,310.0,335.0,1962,2026,0.072,14.047,0.131878475,4345.960941
Natural Gas Steam Turbine,315,5,480.0,,495.0,480.0,1964,2026,0.033,12.614,0.131878475,4345.960941
