technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Batteries,66754,EC01,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Solar Photovoltaic,62806,SCC01,2.4,,1.9,1.1,2020,2050,0.225,0.0,0.0,7714.0
Batteries,66551,IB192,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66551,IB193,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66552,MH162,3.0,8.7,3.0,3.0,2025,2040,0.85,0.0,0.0,12544.0
Batteries,66755,M01,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66755,M02,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66755,M03,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66755,M04,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66755,M05,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,62892,SONR2,24.89420191,99.57680764,24.79539194,24.86174999,2026,2056,0.85,0.0,0.0,12544.0
Solar Photovoltaic,62892,SONRI,124.4710096,,124.5968445,124.3087499,2026,2056,0.212,0.0,0.0,9730.0
Solar Photovoltaic,62899,EASTL,100.0,,100.0,100.0,2020,2050,0.279,0.0,0.0,7714.0
Solar Photovoltaic,62902,WUS15,1.5,,1.5,1.5,2020,2050,0.198,0.0,0.0,7714.0
Batteries,66755,M06,3.0,8.7,3.0,3.0,2026,2041,0.85,0.0,0.0,12544.0
Other Natural Gas,62671,EQX1A,2.0,,2.0,2.0,2017,2067,0.853,7.179,0.298,15571.0
Other Natural Gas,62671,EQX1B,2.8,,2.8,2.8,2017,2067,0.853,7.179,0.298,15571.0
Other Natural Gas,62704,EQX09,1.0,,1.0,1.0,2017,2067,0.46,7.318,0.298,15571.0
Solar Photovoltaic,62988,CAWF1,13.0,,13.0,13.0,2020,2050,0.261,0.0,0.0,7714.0
Other Natural Gas,62704,EQX95,1.0,,1.0,1.0,2017,2067,0.46,7.258,0.298,15571.0
Other Natural Gas,62702,EQ14A,2.4,,2.4,2.4,2017,2067,0.715,7.244,0.298,15571.0
Other Natural Gas,62702,EQ14B,2.1,,2.1,2.1,2017,2067,0.715,7.244,0.298,15571.0
Solar Photovoltaic,63021,232,1.2,,1.2,1.2,2018,2048,0.182,0.0,0.0,7714.0
Other Natural Gas,62703,EQ13A,1.8,,1.8,1.8,2017,2067,0.648,7.146,0.298,15571.0
Solar Photovoltaic,63054,CALTR,3.0,,3.0,3.0,2019,2049,0.284,0.0,0.0,7714.0
Other Natural Gas,62703,EQ13B,2.0,,2.0,2.0,2017,2067,0.648,7.146,0.298,15571.0
Solar Photovoltaic,63068,231,2.2,,2.2,2.2,2018,2048,0.194,0.0,0.0,7714.0
Solar Photovoltaic,63074,234,2.6,,2.6,2.6,2018,2048,0.169,0.0,0.0,7714.0
Solar Photovoltaic,63078,EGCRK,3.0,,3.0,3.0,2019,2049,0.303,0.0,0.0,7714.0
Onshore Wind Turbine,63088,ROONR,21.0,,21.0,21.0,2025,2055,0.316,0.0,0.0,14250.0
Other Natural Gas,62705,EQX08,2.0,,2.0,2.0,2017,2067,0.445,7.299,0.298,15571.0
Other Natural Gas,60223,EQXOO,1.0,,1.1,1.0,2015,2065,0.873,7.326,0.298,15571.0
Other Natural Gas,63704,EQ10A,1.2,,1.2,1.2,2019,2069,0.785,6.92,0.298,15571.0
Other Natural Gas,63704,EQ10B,1.2,,1.2,1.2,2019,2069,0.785,6.921,0.298,15571.0
Other Natural Gas,63705,EQ11A,2.0,,2.0,2.0,2018,2068,0.453,6.938,0.298,15571.0
Other Natural Gas,63705,EQ11B,1.4,,1.4,1.4,2018,2068,0.453,6.938,0.298,15571.0
Other Natural Gas,63705,EQ11C,1.8,,1.8,1.8,2018,2068,0.453,6.938,0.298,15571.0
Other Natural Gas,63708,EQ15A,2.0,,2.0,2.0,2018,2068,0.834,7.168,0.298,15571.0
Onshore Wind Turbine,63114,MCWF,350.0,,350.0,350.0,2020,2050,0.332,0.0,0.0,13321.0
Onshore Wind Turbine,63126,SNDHA,13.5,,13.5,13.5,2025,2055,0.316,0.0,0.0,14250.0
Solar Photovoltaic,63127,DS,100.0,,100.0,100.0,2022,2052,0.327,0.0,0.0,7714.0
Solar Photovoltaic,63189,BIORD,2.4,,2.3,1.1,2021,2051,0.235,0.0,0.0,7714.0
Other Natural Gas,63708,EQ15B,2.0,,2.0,2.0,2018,2068,0.834,7.168,0.298,15571.0
Batteries,60570,SES,30.0,120.0,30.0,30.0,2017,2032,0.0,0.0,0.0,12544.0
Solar Photovoltaic,63204,HLS,2.0,,2.0,2.0,2019,2049,0.202,0.0,0.0,7714.0
Other Waste Biomass,60220,ZWED1,0.8,,0.8,0.8,2015,2060,0.163,16.021,2.443,63592.0
Batteries,66772,ESTRB,28.0,112.0,28.0,28.0,2023,2038,0.85,0.0,0.0,17250.0
Solar Photovoltaic,63300,IPAT1,250.0,,250.0,250.0,2022,2052,0.33,0.0,0.0,7714.0
Solar Photovoltaic,63303,AISP,1.1,,1.2,0.7,2017,2047,0.215,0.0,0.0,7714.0
Batteries,61365,FBES,40.0,40.0,40.0,40.0,2023,2038,0.85,0.0,0.0,12544.0
Solar Photovoltaic,63349,AZ1,32.5,,32.5,32.5,2020,2050,0.284,0.0,0.0,7714.0
Solar Photovoltaic,63361,MIP2T,1.0,,1.0,1.0,2018,2048,0.224,0.0,0.0,7714.0
Solar Photovoltaic,63363,NBS,1.0,,1.0,1.0,2018,2048,0.183,0.0,0.0,7714.0
Solar Photovoltaic,63376,PPHS,1.1,,1.2,0.8,2015,2045,0.327,0.0,0.0,7714.0
Solar Photovoltaic,63385,CA135,3.5,,3.5,3.5,2014,2044,0.204,0.0,0.0,7714.0
Solar Photovoltaic,63387,RSS2,160.0,,160.0,160.0,2021,2051,0.17,0.0,0.0,7714.0
Solar Photovoltaic,63414,IOSII,3.7,,4.0,3.3,2020,2050,0.104,0.0,0.0,7714.0
Solar Photovoltaic,63418,1122,2.3,,2.3,2.3,2020,2050,0.239,0.0,0.0,7714.0
Solar Photovoltaic,63419,1122,2.0,,2.0,2.0,2020,2050,0.206,0.0,0.0,7714.0
Solar Photovoltaic,63420,903,1.2,,1.2,1.2,2020,2050,0.206,0.0,0.0,9730.0
Batteries,63420,BA903,0.4,0.4,0.4,0.4,2020,2050,0.0,0.0,0.0,17250.0
Solar Photovoltaic,63421,291,1.2,,1.2,1.2,2020,2050,0.197,0.0,0.0,9730.0
Batteries,63421,BA291,0.2,0.2,0.2,0.2,2020,2050,0.009,0.0,0.0,17250.0
Solar Photovoltaic,63422,1122,1.5,,1.5,1.5,2020,2050,0.182,0.0,0.0,9730.0
Batteries,63422,BA112,0.3,0.3,0.3,0.3,2020,2050,0.0,0.0,0.0,17250.0
Solar Photovoltaic,63440,GEN01,150.0,,150.0,150.0,2021,2051,0.298,0.0,0.0,7714.0
Solar Photovoltaic,63455,INV1,0.5,,0.5,0.5,2009,2039,0.219,0.0,0.0,7714.0
Solar Photovoltaic,63455,INV2,0.5,,0.5,0.5,2009,2039,0.219,0.0,0.0,7714.0
Solar Photovoltaic,63476,SAINT,100.0,,100.0,100.0,2021,2051,0.326,0.0,0.0,7714.0
Onshore Wind Turbine,63482,PW1,64.5,,64.5,64.5,2021,2051,0.375,0.0,0.0,13321.0
Solar Photovoltaic,63486,DA04,1.7,,1.7,1.2,2019,2049,0.312,0.0,0.0,7714.0
Solar Photovoltaic,63487,WSOL,20.0,,20.0,20.0,2022,2052,0.184,0.0,0.0,7714.0
Geothermal,63490,OEC1,29.6,,44.4,44.4,2022,2052,0.831,9.771,0.587,65021.0
Solar Photovoltaic,63493,SIAD,2.4,,2.5,1.6,2018,2048,0.278,0.0,0.0,7714.0
Solar Photovoltaic,63508,CSPV1,44.0,,44.0,44.0,2025,2055,0.212,0.0,0.0,9730.0
Solar Photovoltaic,63510,PV1,1.8,,1.8,1.8,2020,2050,0.121,0.0,0.0,9730.0
Solar Photovoltaic,63514,MLO2,1.4,,1.4,1.0,2019,2049,0.289,0.0,0.0,7714.0
Solar Photovoltaic,63516,CACTY,1.9,,1.9,1.9,2018,2048,0.325,0.0,0.0,7714.0
Solar Photovoltaic,63527,GEN1,1.9,,1.9,1.9,2020,2050,0.145,0.0,0.0,7714.0
Solar Photovoltaic,63531,10327,1.3,,1.3,1.3,2019,2049,0.268,0.0,0.0,7714.0
Solar Photovoltaic,63545,GEN1,30.0,,30.0,30.0,2020,2050,0.278,0.0,0.0,9730.0
Solar Photovoltaic,63554,PV2,10.9,,10.9,10.9,2016,2046,0.257,0.0,0.0,7714.0
Batteries,68529,FS01,200.0,580.0,200.0,200.0,2025,2040,,0.0,,
Other Natural Gas,62575,FLX01,1.5,,1.5,1.5,2017,2067,0.994,7.464,0.298,15571.0
Other Waste Biomass,60220,ZWED2,0.8,,0.8,0.8,2015,2060,0.163,16.025,2.443,63592.0
Solar Photovoltaic,63623,GEN1,1.7,,1.7,1.7,2020,2050,0.13,0.0,0.0,7714.0
Solar Photovoltaic,63651,5812,4.0,,4.0,4.0,2012,2042,0.219,0.0,0.0,7714.0
Onshore Wind Turbine,63652,SNDHB,17.0,,17.0,17.0,2025,2055,0.316,0.0,0.0,13321.0
Onshore Wind Turbine,63653,SNDHC,80.0,,80.0,80.0,2025,2055,0.316,0.0,0.0,13321.0
Batteries,67288,BESSA,1.3,3.77,1.3,1.3,2024,2039,0.85,0.0,0.0,12544.0
Batteries,67859,BESSB,1.2,3.48,1.2,1.2,2024,2039,0.85,0.0,0.0,12544.0
Solar Photovoltaic,63674,DEDEA,0.9,,0.9,0.9,2019,2049,0.0,0.0,0.0,7714.0
Other Natural Gas,57809,FRK00,1.0,,1.1,1.0,2011,2061,0.437,9.656,0.298,15571.0
Batteries,10156,BESS1,16.0,16.0,16.0,16.0,2023,2038,0.85,0.0,0.0,17250.0
Batteries,63834,GTWAY,250.0,700.0,250.0,250.0,2020,2035,0.0,0.0,0.0,12544.0
Other Natural Gas,63714,GEN05,2.5,,2.5,2.5,2019,2069,0.746,7.043,0.298,15571.0
Batteries,60231,BA1,2.0,2.0,2.0,2.0,2016,2031,0.0,0.0,0.0,17250.0
Batteries,60974,2BESS,2.0,1.0,2.0,2.0,2017,2032,0.0,0.0,0.0,12544.0
