cpa_id,region,capacity_mw,cf,lcoe,interconnect_annuity,interconnect_capex_mw,resource_annuity,resource_fom
p63_wind_g05,p63,5377.9275144,0.4630342372275705,27.95333011923836,14297.597793970326,300410.7196840409,60127.98586890792,38950.0
p63_wind_g06,p63,5400.033736300001,0.4521550292990391,28.60499412028212,14074.232816099573,295717.5369337633,60268.31488903266,38949.99999999999
p63_wind_g07,p63,5385.6562369,0.44118557216700277,29.405748392792308,14220.755208073795,298796.1605756642,60462.14308995484,38950.0
p63_wind_g08,p63,5412.1162766,0.41930044750311907,30.8908920391104,13862.112479196085,291260.61953990307,60595.97724117443,38950.0
p63_wind_g09,p63,5378.3324347,0.38964028148075686,33.70511462457326,15602.397929501141,327826.2309655957,60415.23573362291,38950.0
p63_wind_g10,p63,5423.1187011,0.34037064943495016,40.95735443693271,20496.347529388408,430654.3008273689,61214.52089420116,38950.0
p64_wind_g01,p64,3412.968741750001,0.4748066215212127,26.989630403273157,13194.339925074193,277229.8696785472,59972.573999999986,38949.99999999999
p64_wind_g02,p64,3367.8112203999995,0.4534662496082385,29.05182851617813,16469.39930045735,346043.0348780354,59972.57400000001,38950.00000000001
p64_wind_g03,p64,3460.7587447,0.4421011409537371,29.86455485091412,16735.301433127173,351629.97820787935,59972.57399999999,38949.99999999999
p64_wind_g04,p64,3406.2524948,0.43572426323386776,30.531243816265974,17610.05031597808,370009.56839010306,59972.574,38950.0
p64_wind_g05,p64,3387.3524770999993,0.4258810003805089,31.14142132578697,17253.6001720219,362520.0921043544,59972.57400000003,38950.00000000001
p64_wind_g06,p64,3453.6037472000003,0.4160902484329572,31.712502199185437,16664.278118880335,350137.68745259685,59972.573999999986,38950.0
p64_wind_g07,p64,3450.9037043,0.40919852214169117,32.32092017601218,16935.72732883735,355841.18070930836,59972.57399999999,38950.00000000001
p64_wind_g08,p64,3383.4037490000005,0.40448246593024123,33.037028863509455,18135.839277432868,381057.0606720236,59972.574,38949.99999999999
p64_wind_g09,p64,3436.8974975,0.39596677588359813,33.780048261786185,18238.331192330486,383210.54600563913,59972.57399999999,38950.0
p64_wind_g10,p64,3447.3600066999998,0.3733583360772153,35.934529780978664,18269.765448349455,383871.01455955824,59972.57399999999,38950.00000000001
p65_wind_g01,p65,7701.446223300001,0.4893095261355767,25.424364485193532,10011.811700564793,210360.90214397182,59972.57399999999,38949.99999999999
p65_wind_g02,p65,7706.8800215,0.4578632887650632,28.34589507464026,14696.515207904922,308792.48475412297,59972.574,38949.99999999999
p65_wind_g03,p65,7769.992494700001,0.4349592754975054,30.220652575296796,16205.70641101372,340505.0292098469,59972.574,38949.99999999999
p65_wind_g04,p65,7762.094995699999,0.417344818871479,31.508638384021488,16255.42711944988,341625.6611900685,59972.57400000001,38950.0
p65_wind_g05,p65,7810.9312284,0.40452415651044793,32.417325088896945,15945.471275894726,335049.7760119937,59972.574,38950.00000000001
p65_wind_g06,p65,7749.0337205,0.40101472496719326,33.24027052628451,17842.906000177965,374932.74876062793,59972.574,38950.00000000001
p65_wind_g07,p65,7756.2899909,0.3914623726156403,34.00386558535709,17679.325231120987,371498.3899102224,59972.57400000001,38950.0
p65_wind_g08,p65,7702.222514499999,0.3788103768241672,35.0213031624757,17287.10621519163,363231.8377085082,59972.57400000002,38950.0
p65_wind_g09,p65,7715.8237662,0.3611333271493911,36.318377804387,15941.36270419985,334950.1587807748,59972.574000000015,38949.99999999999
p65_wind_g10,p65,7840.968744100001,0.34037359959332114,38.53085018010236,15872.396632233893,333499.24628000264,59972.573999999986,38950.0
p67_wind_g01,p67,624.0037473000001,0.3960338982159539,31.309196320133232,9684.585725738358,203485.4630683422,59972.573999999986,38949.99999999999
p67_wind_g02,p67,625.2862411,0.3873760982990194,31.962003851681562,9538.030411039339,200406.15238959301,59972.574,38950.0
p67_wind_g03,p67,679.6237464,0.3825318492060128,32.373260194671225,9557.7494490059,200820.47366330004,59972.57400000001,38950.0
p67_wind_g04,p67,609.8625056,0.38499106799450505,32.73040264082692,11458.813723366085,240764.2569637107,59972.574,38950.00000000001
p67_wind_g05,p67,682.5262403,0.38817405342559197,33.02732208470928,13384.87172673138,281233.18359979294,59972.574,38950.0
p67_wind_g06,p67,644.220007,0.38087016269918894,33.24830327945634,12006.986001212734,252282.0527046542,59972.574,38950.0
p67_wind_g07,p67,597.2399925,0.3780618654266816,33.592222742955045,12328.301057184191,259033.28827735974,59972.574,38950.0
p67_wind_g08,p67,695.5199974,0.3739078470161118,34.09832011220889,12762.703691073875,268160.6364618862,59972.574000000015,38950.00000000001
p67_wind_g09,p67,629.9437514,0.36747707258461737,34.59448660641624,12413.863215361534,260831.06627371427,59998.38586498046,38950.00000000001
p67_wind_g10,p67,660.6899968,0.3532497851726983,37.72768639279107,17453.461638734218,366719.43280897976,60163.90210073572,38950.0
