cpa_id,region,capacity_mw,cf,lcoe,interconnect_annuity,interconnect_capex_mw,resource_annuity,resource_fom
p65_solar_g09,p65,62087.86202479999,0.26617638266493776,36.081211565605784,21576.509257592752,453354.5571253899,47331.754,15221.571
p65_solar_g10,p65,62166.4430425,0.2635023113170032,38.862616097069385,27132.676064934316,570276.4999664227,47331.75400000001,15221.570999999998
p67_solar_g01,p67,12512.2008481,0.2549530949023619,29.937542610075127,4311.617005519059,90592.55871747521,47329.23099919644,15221.571
p67_solar_g02,p67,12470.930763299999,0.25704932145560905,31.018852724150722,7310.704065004048,153607.19367699287,47315.89223467683,15221.571000000002
p67_solar_g03,p67,12601.423409899999,0.2582469486248139,31.549561420903203,8839.263063538881,185724.1625343143,47312.24743415767,15221.571000000004
p67_solar_g04,p67,12566.4302429,0.2588239446612005,31.96412109920343,9947.111504593631,209001.46870732112,47303.9036219181,15221.571
p67_solar_g05,p67,12579.2980891,0.25957319744034346,32.298005353719155,10924.586521186007,229539.46271844834,47295.01236249459,15221.570999999996
p67_solar_g06,p67,12466.1732592,0.259121335787606,32.60685476027652,11502.761485212446,241687.6532569495,47289.8809891604,15221.571
p67_solar_g07,p67,12655.611072599999,0.2598514493342312,33.01329397915087,12632.493078513982,265424.7503085434,47293.83900964387,15221.571000000002
p67_solar_g08,p67,12468.1041707,0.25891146457224423,33.73191464436938,14002.217016822024,294204.3947741944,47281.91294146192,15221.570999999998
p67_solar_g09,p67,12533.130831600001,0.2590220186024364,34.5399559047403,15863.201091264435,333306.03430652386,47287.92889414142,15221.571
p67_solar_g10,p67,12657.073112899998,0.25971379409968887,35.496298388376474,18209.227299566766,382599.0314879598,47325.6242365321,15221.571000000002
